vacc;mspi;dyst;disg_sens;party;sys_jus
1;0,34961601761616384;4;1,30113325913633981;ruling party;-0,0402815622312812
1;-0,11051652441115374;NA;-0,39125906574671421;ruling party;-0,3721091855299509
NA;-0,55994830964713893;3;-0,69235954072590777;NA;0,2915460610673880
1;-0,31383090344648085;3;-0,94154614070868881;opposition;-0,3721091855299509
1;0,02859331387617462;3;-0,44317294074312702;ruling party;1,6188565542620663
1;1,50529775108012487;2;0,13826245921669500;NA;-1,3675920554259595
1;-1,14848993317045256;2;0,47051125919373638;NA;-0,3721091855299509
1;-0,61345209360380382;2;0,55357345918799705;NA;0,6233736843660577
1;-0,50644452569047416;2;0,71969785917651707;opposition;0,9552013076647274
1;-1,57652020482377164;4;-1,52298154066851077;ruling party;1,9506841775607355
1;-0,59205058002113797;2;0,96888445915929844;NA;1,9506841775607355
1;1,19497580413146864;1;-2,18747914062259330;ruling party;-1,3675920554259595
1;0,99166142509614230;2;1,38419545913059983;opposition;-1,3675920554259595
1;0,56363115344282333;4;0,71969785917651707;radicals;-0,7039368088286204
0;0,56363115344282333;3;-1,10767054069720938;nonVote;0,6233736843660577
1;-1,14848993317045256;3;-0,02786194077182568;ruling party;0,9552013076647274
1;0,80974855964348147;3;-0,27704854075460639;nonVote;0,6233736843660577
1;-0,11051652441115374;1;0,47051125919373638;NA;-1,3675920554259595
1;0,23190769291150098;2;-0,27704854075460639;opposition;0,2915460610673880
1;-0,35930911980964569;1;-1,19073274069146984;other;-1,3675920554259595
1;1,07726747942680579;4;1,79950645910190121;NA;1,6188565542620663
1;1,20567656092280173;4;0,05520025922243499;ruling party;0,9552013076647274
1;-0,92377404055245993;1;1,21807105914207914;opposition;-0,7039368088286204
1;0,51012736948615844;2;-0,36011074074886673;opposition;0,2915460610673880
1;-1,48288858289960812;2;1,63338205911338052;ruling party;1,9506841775607355
1;0,49942661269482536;2;-1,10767054069720938;radicals;0,2915460610673880
1;0,99166142509614230;2;-0,27704854075460639;opposition;-0,0402815622312812
1;-1,57652020482377164;1;-0,69235954072590777;opposition;-0,0402815622312812
1;0,80974855964348147;4;1,13500885914781913;nonVote;1,9506841775607355
1;-0,23892560590714973;4;2,13175525907894237;NA;-0,7039368088286204
0;-1,46951263691044187;2;-0,94154614070868881;radicals;-1,3675920554259595
1;0,45662358552949361;4;1,13500885914781913;ruling party;2,6143394241580751
1;1,48389623749745936;3;1,63338205911338052;ruling party;1,6188565542620663
1;0,99166142509614230;2;-0,27704854075460639;ruling party;1,2870289309633967
1;1,47319548070612627;4;1,38419545913059983;opposition;-1,3675920554259595
1;1,45981953471696002;2;1,21807105914207914;radicals;1,2870289309633967
1;1,48389623749745936;3;0,13826245921669500;nonVote;-1,3675920554259595
1;0,56363115344282333;2;0,55357345918799705;NA;0,6233736843660577
1;NA;4;-0,85848394071442846;ruling party;NA
1;0,20693926039839061;4;-0,75168968357895094;ruling party;0,6233736843660577
1;0,67063872135615310;3;0,22132465921095568;opposition;-1,3675920554259595
0;-1,48021339370177496;2;-1,77216814065129191;ruling party;1,2870289309633967
1;-0,82746722943046336;2;-0,44317294074312702;NA;0,9552013076647274
1;0,45662358552949361;2;-0,44317294074312702;opposition;-1,3675920554259595
0;0,29611223365949896;NA;-1,19073274069146984;ruling party;-0,0402815622312812
1;0,71344174852148479;2;-1,60604374066277122;radicals;-0,3721091855299509
